t,x,z,a,d
0.49900007247924805,"[0.0001604586432222277, 0.011175221763551235]",0.24549999199807646,backward,False
1.501000165939331,"[-0.0027220766060054302, 0.018199805170297623]",0.24199999310076237,backward,False
2.3340001106262207,"[-0.006071963347494602, 0.017741477116942406]",0.2154999937862158,backward,False
3.2150001525878906,"[-0.01169248204678297, 0.021538054570555687]",0.24474999047815799,backward,False
4.019000053405762,"[-0.020119311287999153, 0.028072083368897438]",0.25499999709427357,backward,False
4.9100000858306885,"[-0.022997913882136345, 0.037440817803144455]",0.25049999728798866,backward,False
5.65500020980835,"[-0.030135732144117355, 0.04293154180049896]",0.24699999392032623,backward,False
6.380000114440918,"[-0.031916726380586624, 0.05144469812512398]",0.2529999919235706,backward,False
7.203999996185303,"[-0.04007350653409958, 0.05776120349764824]",0.2419999938458204,backward,False
8.098000049591064,"[-0.045447736978530884, 0.0690736249089241]",0.2697499912232161,backward,False
9.073000192642212,"[-0.05370693281292915, 0.07544330507516861]",0.2902499921619892,backward,False
10.008000135421753,"[-0.060137759894132614, 0.08042999356985092]",0.26449999697506427,backward,False
10.950000047683716,"[-0.06796026229858398, 0.08643019199371338]",0.269499995559454,backward,False
11.757000207901001,"[-0.07349500060081482, 0.09784706681966782]",0.2762499935925007,backward,False
12.678000211715698,"[-0.08016926795244217, 0.10300372540950775]",0.2842499922960997,backward,False
13.502000093460083,"[-0.08689092844724655, 0.10819520801305771]",0.2869999945163727,backward,False
14.432000160217285,"[-0.09242715686559677, 0.11962150037288666]",0.28024999611079693,backward,False
15.273000001907349,"[-0.09984733909368515, 0.12535029649734497]",0.28824999481439595,backward,False
16.121000051498413,"[-0.10582137107849121, 0.12995146214962006]",0.2799999933689833,backward,False
17.01800012588501,"[-0.11821845173835754, 0.1323777735233307]",0.2992499940097332,backward,False
17.891000032424927,"[-0.12271182984113693, 0.1358492225408554]",0.30024999678134917,stay,False
18.4520001411438,"[-0.12718938291072845, 0.13930365443229675]",0.3169999919831753,stay,False
18.993000030517578,"[-0.1316676139831543, 0.14276599884033203]",0.31849999427795406,stay,False
19.53000020980835,"[-0.1326868087053299, 0.15069319307804108]",0.3237499974668026,stay,False
20.02900004386902,"[-0.13370823860168457, 0.15863347053527832]",0.33649999350309373,stay,False
20.59000015258789,"[-0.1347273588180542, 0.16656386852264404]",0.3264999955892563,stay,False
21.111000061035156,"[-0.13574887812137604, 0.1745009422302246]",0.33474999740719796,stay,False
21.664000034332275,"[-0.13676880300045013, 0.1824328601360321]",0.3379999943077564,stay,False
22.28700017929077,"[-0.13796746730804443, 0.19179877638816833]",0.3584999918937683,stay,False
22.79700016975403,"[-0.13907268643379211, 0.20034894347190857]",0.3582499958574772,stay,False
23.336000204086304,"[-0.14008106291294098, 0.20822833478450775]",0.36474999263882635,stay,False
23.897000074386597,"[-0.14127099514007568, 0.21747523546218872]",0.36999999508261683,stay,False
24.486999988555908,"[-0.14254727959632874, 0.2273862659931183]",0.3522499926388264,stay,False
25.09000015258789,"[-0.1438826471567154, 0.23777863383293152]",0.36524999514222145,stay,False
25.58899998664856,"[-0.14485101401805878, 0.24534542858600616]",0.3842499896883964,stay,False
26.062000036239624,"[-0.14576184749603271, 0.2524015009403229]",0.36724999397993086,stay,False
26.585000038146973,"[-0.14677578210830688, 0.26029786467552185]",0.4032499954104424,stay,False
27.171000003814697,"[-0.1479647010564804, 0.2695161700248718]",0.45974998995661737,stay,False
28.73300004005432,"[-0.15105605125427246, 0.29351210594177246]",0.44274999350309374,stay,False
29.909000158309937,"[-0.15309707820415497, 0.3093808591365814]",0.48999998569488523,stay,False
30.480000019073486,"[-0.1550579071044922, 0.3246869742870331]",0.718999981880188,forward,False
31.296000003814697,"[-0.15592138469219208, 0.3334662914276123]",0.7052499696612358,forward,False
32.10199999809265,"[-0.1492154896259308, 0.34219005703926086]",0.5824999779462814,forward,False
32.91300010681152,"[-0.14911267161369324, 0.3515874445438385]",0.44299998357892034,forward,True
33.77300000190735,"[-0.14335116744041443, 0.3590286076068878]",0.6632499784231186,forward,True
34.66100001335144,"[-0.14088398218154907, 0.37147635221481323]",0.5644999854266644,forward,True
35.5,"[-0.13656634092330933, 0.37704047560691833]",0.4659999907016754,forward,True
36.396000146865845,"[-0.13054293394088745, 0.3848792612552643]",0.47299999594688413,forward,True
37.129000186920166,"[-0.13041256368160248, 0.39432358741760254]",0.6407499745488167,forward,True
37.95800018310547,"[-0.12464899569749832, 0.4017615020275116]",0.6627499841153621,forward,True
38.730000019073486,"[-0.12394440174102783, 0.41193118691444397]",0.607249990105629,forward,True
39.592000007629395,"[-0.11877793818712234, 0.4188500940799713]",0.625999990105629,forward,True
40.37700009346008,"[-0.12079431861639023, 0.43453314900398254]",0.5804999843239784,forward,True
41.26300001144409,"[-0.1197999119758606, 0.44507166743278503]",0.6069999776780606,forward,True
42.349000215530396,"[-0.11592227220535278, 0.45935478806495667]",0.7129999749362468,forward,True
43.259000062942505,"[-0.11652439832687378, 0.4678553640842438]",0.5447499819099904,forward,True
44.13499999046326,"[-0.11003006994724274, 0.4762357771396637]",0.7844999752938747,forward,True
44.956000089645386,"[-0.10903327912092209, 0.4867849051952362]",0.6967499881982804,forward,True
45.69200015068054,"[-0.10414166003465652, 0.4931371212005615]",0.8722499743103982,forward,True
46.37100005149841,"[-0.10515673458576202, 0.5010578632354736]",0.7632499881088733,forward,True
46.99400019645691,"[-0.10104572027921677, 0.5063256025314331]",0.5924999885261059,forward,True
47.6710000038147,"[-0.09913314133882523, 0.5170133709907532]",0.6184999860823155,forward,True
48.415000200271606,"[-0.1001930758357048, 0.526019811630249]",0.6614999793469906,forward,True
49.25500011444092,"[-0.09345763921737671, 0.5346934199333191]",0.6222499810159207,forward,True
49.94800019264221,"[-0.09439124166965485, 0.5427770614624023]",0.6899999722838401,forward,True
50.94700002670288,"[-0.08299938589334488, 0.5482727289199829]",0.6702499739825726,forward,True
51.63499999046326,"[-0.07890176773071289, 0.5536059141159058]",0.7262499891221523,forward,True
52.31000018119812,"[-0.07350698113441467, 0.560546338558197]",0.5572499960660935,forward,True
53.02900004386902,"[-0.07364851236343384, 0.5696393251419067]",0.6039999909698963,forward,True
53.71000003814697,"[-0.06965631991624832, 0.5742080807685852]",0.7242499835789203,forward,True
54.45300006866455,"[-0.059025127440690994, 0.579286515712738]",0.7092499807476997,forward,True
55.16799998283386,"[-0.05981965735554695, 0.5875511765480042]",0.5644999839365482,forward,True
55.89200019836426,"[-0.05521273985505104, 0.5935340523719788]",0.634999980032444,forward,True
56.77400016784668,"[-0.053952284157276154, 0.6046644449234009]",0.7314999856054782,forward,True
58.123000144958496,"[-0.056987691670656204, 0.6282454133033752]",0.6089999847114086,forward,True
58.82600021362305,"[-0.058006882667541504, 0.6361726522445679]",0.6109999895095826,forward,True
59.52900004386902,"[-0.052826933562755585, 0.6428847908973694]",0.5942499764263629,forward,True
60.540000200271606,"[-0.053012702614068985, 0.6600198149681091]",0.6962499782443047,forward,True
61.4060001373291,"[-0.05415590479969978, 0.6689321994781494]",0.6582499958574772,forward,True
62.13300013542175,"[-0.0492626428604126, 0.6752814054489136]",1.0784999564290048,forward,True
62.907999992370605,"[-0.04826139658689499, 0.6858206391334534]",0.8144999772310257,forward,True
63.62400007247925,"[-0.048123788088560104, 0.6952276229858398]",0.7757499739527702,forward,True
64.4430000782013,"[-0.042368024587631226, 0.7027150392532349]",0.6384999819099904,forward,True
65.12800002098083,"[-0.04081744700670242, 0.7139917016029358]",0.7512499749660493,forward,True
66.33899998664856,"[-0.033018045127391815, 0.7240799069404602]",0.836749966442585,forward,True
67.68600010871887,"[-0.02408534847199917, 0.7356463074684143]",0.7877499669790268,forward,True
68.87800002098083,"[-0.02486708201467991, 0.7548680305480957]",0.8562499731779099,forward,True
70.16400003433228,"[-0.02160988375544548, 0.7666414976119995]",0.7517499722540378,forward,True
71.51200008392334,"[-0.012763113714754581, 0.778091549873352]",0.8002499736845494,forward,True
72.31500005722046,"[-0.012667232193052769, 0.7874839901924133]",0.7779999859631062,forward,True
73.14100003242493,"[-0.005985359661281109, 0.7960931062698364]",0.7844999738037586,forward,True
74.00400018692017,"[-0.0055671813897788525, 0.8058933019638062]",0.7662499673664569,forward,True
74.9280002117157,"[-9.240598592441529e-05, 0.8130061030387878]",0.7687499754130841,forward,True
76.29200005531311,"[-0.003115499159321189, 0.8365665674209595]",0.7697499744594096,forward,True
77.07500004768372,"[-0.0035316573921591043, 0.8455373644828796]",0.8289999671280384,forward,True
77.95000004768372,"[0.002740376628935337, 0.8536987900733948]",0.7567499816417694,forward,True
78.79100012779236,"[0.004293509293347597, 0.8649752140045166]",0.801749974489212,forward,True
79.67500019073486,"[0.00886561255902052, 0.8709107041358948]",0.8684999898076058,forward,True
80.45700001716614,"[0.01557903178036213, 0.8795732855796814]",0.7814999975264072,forward,True
81.36600017547607,"[0.016830645501613617, 0.8904547095298767]",0.8654999904334545,forward,True
82.16600012779236,"[0.02144251950085163, 0.8964306116104126]",0.7817499756813049,forward,True
