t,x,z,a,d
0.6429998874664307,"[0.006484043784439564, 0.008613904006779194]",0.23249999694526197,backward,False
1.5869998931884766,"[0.003323683515191078, 0.01798839122056961]",0.20649999380111694,backward,False
2.493000030517578,"[0.00075071508763358, 0.017646709457039833]",0.16699999645352365,backward,False
3.3999998569488525,"[-0.005241756327450275, 0.02183898538351059]",0.20649999491870402,backward,False
4.291999816894531,"[-0.007200172170996666, 0.03678606078028679]",0.22399999275803567,backward,False
5.171000003814697,"[-0.012410828843712807, 0.04795736446976662]",0.19499999694526193,backward,False
6.057999849319458,"[-0.018022047355771065, 0.05228105187416077]",0.2044999934732914,backward,False
6.915999889373779,"[-0.026173541322350502, 0.05850635841488838]",0.2089999929070473,backward,False
7.875,"[-0.031694378703832626, 0.06988862156867981]",0.230999993160367,backward,False
9.019999980926514,"[-0.04066300392150879, 0.07678423076868057]",0.25249999240040777,backward,False
10.161999940872192,"[-0.05224926769733429, 0.08569514751434326]",0.23299999311566352,backward,False
11.230999946594238,"[-0.05549509450793266, 0.09772098809480667]",0.2114999946206808,backward,False
12.11299991607666,"[-0.057225536555051804, 0.11092542111873627]",0.22824999522417783,backward,False
12.980999946594238,"[-0.062431592494249344, 0.12205043435096741]",0.21549999322742225,backward,False
13.835000038146973,"[-0.06836317479610443, 0.1266166865825653]",0.22199999615550042,backward,False
14.751999855041504,"[-0.07620029896497726, 0.13265469670295715]",0.21699999645352364,backward,False
15.616999864578247,"[-0.08141358196735382, 0.14382697641849518]",0.22649999409914018,backward,False
16.437000036239624,"[-0.08734279125928879, 0.1483904868364334]",0.23549999296665192,backward,False
17.363999843597412,"[-0.0952417403459549, 0.15493439137935638]",0.23274999465793372,backward,False
18.283999919891357,"[-0.09724656492471695, 0.17024284601211548]",0.23399999402463437,backward,False
19.158999919891357,"[-0.10126844048500061, 0.18046706914901733]",0.22699999436736107,backward,False
20.020999908447266,"[-0.10737580806016922, 0.18599975109100342]",0.24099999219179152,backward,False
20.92799997329712,"[-0.10932493954896927, 0.20094208419322968]",0.23599998950958254,backward,False
21.796000003814697,"[-0.11429809033870697, 0.21192939579486847]",0.2359999928623438,backward,False
22.68400001525879,"[-0.11932256072759628, 0.2157464623451233]",0.30949999764561653,stay,False
23.18400001525879,"[-0.12495064735412598, 0.22007308900356293]",0.25049999356269836,backward,False
24.092000007629395,"[-0.1293347030878067, 0.2305978536605835]",0.20399999506771566,backward,False
25.067999839782715,"[-0.13485600054264069, 0.24197863042354584]",0.2567499980330467,backward,False
26.000999927520752,"[-0.14382481575012207, 0.24886739253997803]",0.2649999924004078,backward,False
26.947999954223633,"[-0.15195919573307037, 0.2551558017730713]",0.2559999957680702,backward,False
27.87399983406067,"[-0.15714773535728455, 0.25909852981567383]",0.3172499924898148,stay,False
28.460999965667725,"[-0.1647479087114334, 0.2649552822113037]",0.2777499943971634,backward,False
29.437999963760376,"[-0.16913940012454987, 0.2754703164100647]",0.5394999872893095,forward,False
30.332000017166138,"[-0.17625240981578827, 0.2809448540210724]",0.5027499899268151,forward,False
31.222999811172485,"[-0.1771976500749588, 0.28900957107543945]",0.37174998596310616,stay,False
31.806999921798706,"[-0.173208087682724, 0.2941489815711975]",0.27724999412894247,stay,False
32.38199996948242,"[-0.17082296311855316, 0.3011454641819]",0.3572499882429838,stay,False
32.94599986076355,"[-0.17246463894844055, 0.31370624899864197]",0.5342499945312738,forward,False
33.89800000190735,"[-0.17261254787445068, 0.3227534592151642]",0.36799999326467514,stay,False
34.532999992370605,"[-0.16748091578483582, 0.329475462436676]",0.4252499934285879,stay,True
35.17400002479553,"[-0.16807082295417786, 0.3418390452861786]",0.5299999821931124,forward,True
36.11500000953674,"[-0.16974075138568878, 0.354633092880249]",0.48499999567866325,forward,True
37.06099987030029,"[-0.1717863529920578, 0.3702714741230011]",0.5089999929070472,forward,True
37.98099994659424,"[-0.17272736132144928, 0.37830865383148193]",0.41699998676776884,stay,True
38.54699993133545,"[-0.168955460190773, 0.38325467705726624]",0.3382499869912863,stay,True
39.16799998283386,"[-0.16644518077373505, 0.3911324739456177]",0.36624999307096007,stay,True
39.906999826431274,"[-0.16799914836883545, 0.40304112434387207]",0.32624998800456523,stay,True
40.496999979019165,"[-0.16903482377529144, 0.41096970438957214]",0.4434999946504831,stay,True
41.156999826431274,"[-0.1702517867088318, 0.42033353447914124]",0.45574999786913395,stay,True
41.82799983024597,"[-0.17214418947696686, 0.4347708225250244]",0.5374999903142452,forward,True
42.91100001335144,"[-0.1741417497396469, 0.45012015104293823]",0.47849998921155934,stay,True
43.507999897003174,"[-0.17526045441627502, 0.4586295187473297]",0.4409999866038561,stay,True
44.23099994659424,"[-0.1763116419315338, 0.4666936993598938]",0.4609999813139438,stay,True
44.97000002861023,"[-0.1787102371454239, 0.48498523235321045]",0.49649998266249895,forward,True
45.990999937057495,"[-0.180434912443161, 0.49823063611984253]",0.5042499825358391,forward,True
47.01899981498718,"[-0.18256117403507233, 0.514603853225708]",0.5067499861121177,forward,True
48.01899981498718,"[-0.18414796888828278, 0.5266581177711487]",0.486249989643693,stay,True
48.60199999809265,"[-0.18573765456676483, 0.5388726592063904]",0.49274998158216476,forward,True
49.65999984741211,"[-0.1880330592393875, 0.5564116835594177]",0.6894999854266644,forward,True
50.67700004577637,"[-0.19045180082321167, 0.5749128460884094]",0.7577499859035015,forward,True
51.98099994659424,"[-0.19284147024154663, 0.5932252407073975]",0.801249983906746,forward,True
53.03999996185303,"[-0.19055183231830597, 0.6057391166687012]",0.8057499706745148,forward,True
53.889999866485596,"[-0.18613070249557495, 0.6114886999130249]",0.9937499806284905,forward,True
54.734999895095825,"[-0.18011394143104553, 0.6192896962165833]",0.8739999815821649,forward,True
55.76600003242493,"[-0.17760978639125824, 0.6318425536155701]",0.9157499849796296,forward,True
56.97599983215332,"[-0.16777577996253967, 0.6446393728256226]",0.9487499639391899,forward,True
58.07799983024597,"[-0.16667337715625763, 0.6553357243537903]",1.0397499561309815,forward,True
59.07499980926514,"[-0.1620146930217743, 0.666023850440979]",0.9077499777078628,forward,True
60.02799987792969,"[-0.1635705977678299, 0.6779269576072693]",0.9257499873638153,forward,True
60.94199991226196,"[-0.16667988896369934, 0.7017269730567932]",0.8519999876618385,forward,True
