t,x,z,a,d
0.7669999599456787,"[0.004031898453831673, 0.007879647426307201]",0.24299999624490737,backward,False
2.7960000038146973,"[0.0018684399547055364, 0.023046711459755898]",0.2414999932050705,backward,False
4.109999895095825,"[-0.005322595126926899, 0.03437495604157448]",0.2669999945908785,backward,False
5.096999883651733,"[-0.009502436965703964, 0.04827988147735596]",0.3092499949038029,backward,False
6.265000104904175,"[-0.011749192140996456, 0.06547084450721741]",0.22649999633431434,backward,False
7.322999954223633,"[-0.016468271613121033, 0.07862743735313416]",0.25124999694526196,backward,False
8.315000057220459,"[-0.023959672078490257, 0.08438890427350998]",0.24349999204277992,backward,False
9.242000102996826,"[-0.031192505732178688, 0.09082366526126862]",0.24349999204277994,backward,False
10.302000045776367,"[-0.0334790013730526, 0.10836920142173767]",0.24649999514222146,backward,False
11.33299994468689,"[-0.035337526351213455, 0.12255142629146576]",0.2134999930858612,backward,False
12.355999946594238,"[-0.03755074739456177, 0.13949847221374512]",0.39349998719990253,backward,False
13.309000015258789,"[-0.03936208412051201, 0.15329882502555847]",0.231999996304512,backward,False
14.204999923706055,"[-0.04487284645438194, 0.16466420888900757]",0.2559999946504831,backward,False
15.203999996185303,"[-0.05372310429811478, 0.17146162688732147]",0.2562499936670065,backward,False
16.227999925613403,"[-0.06250417232513428, 0.17821694910526276]",0.2644999921321869,backward,False
17.203999996185303,"[-0.07123639434576035, 0.18493224680423737]",0.2712499927729368,backward,False
18.302000045776367,"[-0.08076024800539017, 0.1922679990530014]",0.26774999536573885,backward,False
19.484999895095825,"[-0.0897284522652626, 0.19916117191314697]",0.2507499951869249,backward,False
20.550999879837036,"[-0.0986977070569992, 0.20605799555778503]",0.2864999916404486,backward,False
22.890000104904175,"[-0.11318793892860413, 0.2243369072675705]",0.30449999310076237,stay,False
23.54699993133545,"[-0.11525978147983551, 0.24020983278751373]",0.3024999968707561,backward,False
24.57100009918213,"[-0.12078173458576202, 0.2515811026096344]",0.27574999295175073,backward,False
25.711999893188477,"[-0.12608565390110016, 0.25563114881515503]",0.3254999902099371,stay,False
26.382999897003174,"[-0.13340874016284943, 0.26130902767181396]",0.36199998967349534,stay,False
27.08299994468689,"[-0.13527187705039978, 0.2698584794998169]",0.3222499921917915,stay,False
27.86899995803833,"[-0.13682542741298676, 0.2817481458187103]",0.40724999494850633,stay,False
28.54200005531311,"[-0.13835202157497406, 0.2934594452381134]",0.3337499871850014,stay,False
29.27300000190735,"[-0.13941727578639984, 0.30158713459968567]",0.3407499950379133,stay,False
30.00499987602234,"[-0.1411411613225937, 0.31480109691619873]",0.35374999046325684,stay,False
30.67899990081787,"[-0.14252644777297974, 0.32538384199142456]",0.3484999962151051,stay,False
31.506999969482422,"[-0.14399264752864838, 0.3366232216358185]",0.3757499925792217,stay,False
32.18599987030029,"[-0.14560075104236603, 0.34894701838493347]",0.36349998936057093,stay,False
32.805999994277954,"[-0.1466732621192932, 0.35711953043937683]",0.3817499838769436,stay,False
33.47000002861023,"[-0.14777716994285583, 0.36560577154159546]",0.3599999941885471,stay,False
34.187999963760376,"[-0.1495823711156845, 0.37943416833877563]",0.3719999879598618,stay,False
34.842000007629395,"[-0.1508181095123291, 0.38884449005126953]",0.3689999930560589,stay,False
35.57299995422363,"[-0.15219734609127045, 0.39944222569465637]",0.38899998813867565,stay,False
