t,x,z,a,d
0.7009999752044678,"[0.003488034475594759, 0.006026127841323614]",0.263499990478158,backward,False
1.938999891281128,"[0.0026051385793834925, 0.017591562122106552]",0.24999999552965163,backward,False
3.069999933242798,"[-0.00227271462790668, 0.02493109181523323]",0.2349999938160181,backward,False
4.23199987411499,"[-0.011365578509867191, 0.031898584216833115]",0.264999994635582,backward,False
5.349999904632568,"[-0.020336411893367767, 0.03880107030272484]",0.21949999295175077,backward,False
6.351999998092651,"[-0.029305562376976013, 0.04569524526596069]",0.2569999974220991,backward,False
7.454999923706055,"[-0.0383896604180336, 0.052663955837488174]",0.24799999445676804,backward,False
8.675999879837036,"[-0.05057626590132713, 0.06203749403357506]",0.25349999628961084,backward,False
10.001999855041504,"[-0.05386992171406746, 0.07935404777526855]",0.28274999409914015,backward,False
11.730000019073486,"[-0.06458268314599991, 0.09951598942279816]",0.26624999605119226,backward,False
12.895999908447266,"[-0.06921704858541489, 0.11204594373703003]",0.25449999421834946,backward,False
13.972999811172485,"[-0.0757577121257782, 0.12333554774522781]",0.2847499929368496,backward,False
15.188999891281128,"[-0.0814090147614479, 0.13569964468479156]",0.2699999935925007,backward,False
16.236999988555908,"[-0.0948629304766655, 0.1460452675819397]",0.26624999605119226,backward,False
18.980000019073486,"[-0.11376391351222992, 0.16720180213451385]",0.26349999494850634,backward,False
20.269999980926514,"[-0.12632201611995697, 0.17016394436359406]",0.26299999468028545,backward,False
21.414999961853027,"[-0.1352243423461914, 0.17707377672195435]",0.27249999828636645,backward,False
22.69599986076355,"[-0.14752912521362305, 0.18654727935791016]",0.28849999234080315,backward,False
24.014999866485596,"[-0.1541992872953415, 0.19880278408527374]",0.2912499949336052,backward,False
25.32099986076355,"[-0.16430871188640594, 0.20654131472110748]",0.2884999930858612,backward,False
26.29199981689453,"[-0.16849666833877563, 0.21563050150871277]",0.31024999618530275,stay,False
26.936999797821045,"[-0.16972698271274567, 0.22501569986343384]",0.29874999076128006,stay,False
27.658999919891357,"[-0.17180024087429047, 0.2408725917339325]",0.2939999919384718,backward,False
28.63099980354309,"[-0.17283731698989868, 0.2488086074590683]",0.30599999614059925,stay,False
29.49399995803833,"[-0.18223416805267334, 0.2589816451072693]",0.2882499933242798,backward,False
30.455999851226807,"[-0.18400177359580994, 0.27249279618263245]",0.2919999957084656,backward,False
31.40399980545044,"[-0.18552158772945404, 0.28412848711013794]",0.3017499949783087,stay,False
32.13099980354309,"[-0.18698880076408386, 0.2953726053237915]",0.3219999961555004,stay,False
32.82099986076355,"[-0.18802659213542938, 0.3032984435558319]",0.3227499950677156,stay,False
33.406999826431274,"[-0.18918496370315552, 0.31220942735671997]",0.32024999111890795,stay,False
34.03999996185303,"[-0.1907052993774414, 0.32379329204559326]",0.3342499949038029,stay,False
34.681999921798706,"[-0.1921418160200119, 0.33482927083969116]",0.3157499901950359,stay,False
35.52999997138977,"[-0.1934734731912613, 0.3450160324573517]",0.3549999944865704,stay,False
36.168999910354614,"[-0.19501273334026337, 0.35678261518478394]",0.3402499958872795,stay,False
36.73899984359741,"[-0.19624851644039154, 0.3662428855895996]",0.32299999669194224,stay,False
37.33899998664856,"[-0.19735297560691833, 0.3746994733810425]",0.3274999991059303,stay,False
37.98099994659424,"[-0.1983940154314041, 0.38262614607810974]",0.2854999952018261,stay,False
38.628000020980835,"[-0.19962023198604584, 0.3920345604419708]",0.30599999576807024,stay,False
39.282999992370605,"[-0.20123323798179626, 0.4043777287006378]",0.3177499920129776,stay,False
39.90399980545044,"[-0.20253905653953552, 0.4143579304218292]",0.3099999941885472,stay,False
40.50099992752075,"[-0.20357754826545715, 0.42228269577026367]",0.30324999168515204,stay,False
41.09699988365173,"[-0.20461487770080566, 0.4302210807800293]",0.3222499921917915,stay,False
41.60899996757507,"[-0.20565085113048553, 0.43814656138420105]",0.3297499909996986,stay,False
